1    &    0.7551    &    0.3882\\
2    &    0.4122    &    0.5965\\
3    &    0.9659    &    0.2980\\
4    &    0.9182    &    0.3164\\
5    &    0.5676    &    0.4910\\
6    &    0.1927    &    0.7855\\
7    &    1.2825    &    0.2004\\
8    &    0.8383    &    0.3497\\
9    &    0.3554    &    0.6405\\
10    &    1.0555    &    0.2664\\
11    &    1.2692    &    0.2038\\
12    &    1.2649    &    0.2049\\
13    &    0.6832    &    0.4247\\
14    &    0.7931    &    0.3701\\
15    &    0.9286    &    0.3123\\
16    &    0.8328    &    0.3521\\
17    &    1.2173    &    0.2175\\
18    &    1.1366    &    0.2406\\
19    &    0.7291    &    0.4010\\
20    &    0.0000    &    1.0000\\
21    &    0.9717    &    0.2959\\
22    &    0.8565    &    0.3418\\
23    &    0.8522    &    0.3437\\
24    &    1.4792    &    0.1566\\
25    &    1.0034    &    0.2843\\
26    &    0.7623    &    0.3847\\
27    &    1.2637    &    0.2052\\
28    &    0.5190    &    0.5218\\
29    &    0.2712    &    0.7118\\
30    &    0.9303    &    0.3116\\
31    &    0.7572    &    0.3871\\
32    &    0.7320    &    0.3996\\
33    &    1.1277    &    0.2433\\
34    &    0.7568    &    0.3873\\
35    &    0.9648    &    0.2984\\
36    &    0.8834    &    0.3305\\
37    &    0.0036    &    0.9955\\
38    &    0.1764    &    0.8017\\
39    &    0.8957    &    0.3254\\
40    &    0.7448    &    0.3932\\
