B3LYP/6-311++G(2d,2p),6.02,1.00
PBE0/6-311++G(2d,2p),6.23,1.00
wB97XD/6-311++G(2d,2p),6.59,1.00
wB97XD/6-311++G(2d,2p),7.66,0.23
CAM-B3LYP/6-311++G(2d,2p),6.44,1.00
CAM-B3LYP/6-311++G(2d,2p),7.36,0.20
B97D3/6-311++G(2d,2p),5.70,1.00
