174.55 0.0070
174.33 0.0014
173.44 0.0015
173.21 0.0001
171.44 0.0004
171.44 0.0004
169.81 0.0013
169.80 0.0013
154.87 0.0026
154.84 0.0011
153.49 0.0205
152.83 0.0105
152.61 0.0005
152.48 0.0004
152.03 0.0035
151.44 0.0016
151.13 0.0001
150.41 0.0441
150.35 0.0378
150.13 0.0024
150.00 0.0005
150.00 0.0058
148.46 0.0000
148.44 0.0012
147.57 0.0001
147.28 0.0047
146.94 0.0003
146.84 0.0005
146.45 0.0100
146.44 0.0000
146.27 0.0364
146.18 0.0014
146.16 0.0244
146.14 0.0054
145.85 0.0009
145.84 0.0010
145.83 0.0004
145.64 0.0000
145.32 0.0026
145.26 0.0011
144.91 0.0097
144.75 0.0000
144.73 0.0036
144.27 0.0009
144.03 0.0063
143.81 0.0010
143.68 0.0027
143.64 0.0012
143.62 0.0001
143.58 0.0001
