188.23 0.0001
184.68 0.0244
182.00 0.0011
181.00 0.0000
173.58 0.0261
170.77 0.0567
170.66 0.0001
168.25 0.0002
163.15 0.0006
157.92 0.0199
157.36 0.0013
152.76 0.0233
149.95 0.1535
148.34 0.0494
147.62 0.0108
144.79 0.0113
143.12 0.0005
142.46 0.0040
142.16 0.0144
141.32 0.0231
140.86 0.0025
140.67 0.0255
140.33 0.0356
139.86 0.0462
137.16 0.0452
136.69 0.0213
136.68 0.0285
135.95 0.0136
135.22 0.0521
135.00 0.0987
134.61 0.0050
133.91 0.0191
133.68 0.0864
132.69 0.0385
132.05 0.0680
131.98 0.0247
131.27 0.0502
131.24 0.0170
130.80 0.0060
